Time (s),Main Avg Current (mA),Main Avg Voltage (V)
0.8780,0.018,2.9985
0.8800,0.012,2.9975
0.8820,0.008,2.9975
0.8840,0.008,2.9975
0.8860,0.01,2.997
0.8880,0.002,2.997
0.8900,0.004,2.997
0.8920,0.01,2.997
0.8940,0.004,2.9975
0.8960,0.004,2.9985
0.8980,0.01,2.999
0.9000,0,2.9975
0.9020,0.012,2.9985
0.9040,0.01,2.9975
0.9060,0.002,2.9985
0.9080,0.01,2.9975
0.9100,0.01,2.9975
0.9120,0.008,2.9985
0.9140,0.012,2.9985
0.9160,0.012,2.9985
0.9180,0.206,2.9985
0.9200,0.012,2.9975
0.9220,0.004,2.997
0.9240,0.004,2.997
0.9260,0.01,2.9975
0.9280,0.01,2.9975
0.9300,0.004,2.9985
0.9320,0.004,2.9975
0.9340,0.008,2.9975
0.9360,0.01,2.9975
0.9380,0,2.9975
0.9400,0.01,2.9975
0.9420,0.01,2.9985
0.9440,0.01,2.9985
0.9460,0.012,2.9975
0.9480,0.008,2.9975
0.9500,0.016,2.9975
0.9520,0.008,2.997
0.9540,0.004,2.9975
0.9560,0.012,2.9975
0.9580,0.016,2.9975
0.9600,0.012,2.9975
0.9620,0.012,2.997
0.9640,0.012,2.9975
0.9660,0.01,2.997
0.9680,0.01,2.9975
0.9700,0.012,2.9975
0.9720,0.012,2.9975
0.9740,0.01,2.9985
0.9760,0.01,2.9975
0.9780,0.008,2.997
0.9800,0.004,2.9985
0.9820,0.004,2.9975
0.9840,0.004,2.9975
0.9860,0.01,2.9975
0.9880,0.004,2.9985
0.9900,0.004,2.9975
0.9920,0.01,2.9975
0.9940,0.01,2.9975
0.9960,0.01,2.9975
0.9980,0.012,2.9975
1.0000,0.016,2.9975
1.0020,0.008,2.9975
1.0040,0.016,2.9975
1.0060,0.004,2.9975
1.0080,0.008,2.9985
1.0100,0.004,2.9975
1.0120,0.012,2.9975
1.0140,0.01,2.9975
1.0160,0.016,2.9975
1.0180,0.004,2.9975
1.0200,0.016,2.9985
1.0220,0.008,2.997
1.0240,0.01,2.9975
1.0260,0.012,2.9975
1.0280,0.012,2.9975
1.0300,0.01,2.9975
1.0320,0.008,2.997
1.0340,0.01,2.9985
1.0360,0.01,2.9975
1.0380,0.01,2.9985
1.0400,0.008,2.9985
